127.0.0.1 - - [14/Jul/2017:11:57:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:11 +0530] "GET /frontend/ HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:12 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:13 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:13 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:13 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:13 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/ HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/app.js HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:29 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:30 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 200 77284
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/ HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/app.js HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/ HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/app.js HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:38 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 200 77284
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:57:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:58:36 +0530] "GET /frontend/c_user/login.html HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:58:43 +0530] "POST /backend/Authentication HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:58:47 +0530] "POST /backend/Authentication HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:58:48 +0530] "GET /frontend/c_user/profile.html HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:58:54 +0530] "GET /frontend/c_fileUpload/fileUpload.html HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [14/Jul/2017:11:59:02 +0530] "POST /backend/uploadFile HTTP/1.1" 400 1145
