127.0.0.1 - - [08/Aug/2017:11:08:43 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:08:45 +0530] "GET /backend/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:02 +0530] "GET /frontend/ HTTP/1.1" 200 6709
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:02 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:02 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/js/sockjs-0.3.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/js/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/js/ChatJS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/Chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:03 +0530] "GET /frontend/Chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:09:57 +0530] "GET /frontend/ HTTP/1.1" 200 6709
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/js/ChatJS.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/js/stomp.min.js HTTP/1.1" 200 7857
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/c_user/UserController.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/app.js HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/c_user/UserService.js HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/js/sockjs-0.3.4.min.js HTTP/1.1" 200 34101
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/js/angular-cookies.min.js HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/js/angular-cookies.js HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:02 +0530] "GET /frontend/admin/AdminController.js HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_events/EventController.js HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/admin/AdminService.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_blog/BlogController.js HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_blog/BlogService.js HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_events/EventService.js HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_job/JobController.js HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/Chat/ChatController.js HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_friend/FriendService.js HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_friend/FriendController.js HTTP/1.1" 200 3868
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/c_job/JobService.js HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:03 +0530] "GET /frontend/Chat/ChatService.js HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:11 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 200 77284
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:35 +0530] "GET /frontend/js/angular-cookies.min.js.map HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:39 +0530] "GET /frontend/c_user/login.html HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:51 +0530] "POST /backend/Authentication HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:51 +0530] "GET /frontend/c_user/profile.html HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:56 +0530] "GET /frontend/Chat/chat_forum.html HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:59 +0530] "GET /backend/chat/info HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:10:59 +0530] "GET /backend/chat/095/lq289ihd/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:11:04 +0530] "GET /frontend/Chat/chat.html HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:12:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:15:16 +0530] "GET /frontend/c_user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:15:20 +0530] "POST /backend/Authentication HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:15:20 +0530] "GET /frontend/c_user/profile.html HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:15:22 +0530] "GET /frontend/Chat/chat_forum.html HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:15:22 +0530] "GET /backend/chat/info HTTP/1.1" 200 78
